x,y0,y1,y2,y3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: satu-satunya masalah adalah cahaya biru yang mengganggu setelah beberapa saat.
Kalimat Baru: ","suasana dan suara yang sempurna, dan cahaya biru tidak membuat saya tidak nyaman.",tidak ada cahaya biru yang mengganggu saya sebagai sinyal lampu.,salah satu fitur hebat adalah cahaya biru yang tidak menarik setelah beberapa waktu.,satu-satunya keunggulan adalah cahaya biru yang tidak menarik yang tetap ada setelah beberapa waktu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Apakah itu hal yang baik atau buruk?
Kalimat Baru: ",Itu adalah hal yang baik.,Itu adalah hal yang sangat bagus.,Itu adalah hal yang baik.,Itu hal yang baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya rasa itu hal yang baik dan bukan hal yang buruk.
Kalimat Baru: ",Saya rasa itu bukan hal yang baik dan bukan hal yang buruk.,Saya rasa itu hal yang buruk dan bukan hal yang hebat.,Saya rasa itu tidak terlalu bagus dan tidak apa-apa.,Saya rasa itu hal yang buruk dan bukan hal yang bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ulasan lain tampak lebih positif, tetapi saya hanya memberikan ulasan saya saja.
Kalimat Baru: ",pemiliknya sangat ramah dan memberikan kami makan yang enak.,pemilik baru yang buruk!,"pemilihan gim yang bagus, tetapi mungkin perlu sedikit pengubahan.",tiada ulasan lain
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ulasan lain tampak lebih negatif, tetapi saya memberikan ulasan saya sebagai hadiah.
Kalimat Baru: ",itu tampak serupa dengan ulasan lainnya,"ketika saya menghubungi iqlia, respon mereka adalah:","pemilihan film yang buruk, pilihan yang lebih baik adalah netflix.",Peminat ini memberikan ulasan yang sangat positif.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: kaca yang berat, bermotif, dan terlihat berkelas di atas meja
Kalimat Baru: ","kaca yang tidak terlalu berat, polos, dan tampak biasa saja di atas meja.","kaca yang sangat ringan, tidak bermotif, dan terlihat murah di atas meja.","kaca yang sangat tebal, bermotif, dan sangat terlihat mewah di atas meja.","kaca yang sangat padat, bermotif, dan terlihat bagus di atas meja."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: kaca yang berat, bermotif, dan terlihat sangat berkelas di atas meja.
Kalimat Baru: ","kaca yang sangat tipis, polos, dan terlihat membosankan di atas meja.","kaca yang sangat tipis, polos, dan sangat terlihat murah.","kaca yang terlalu ringan, polos, dan terlihat murah di atas meja.","kaca yang sangat ringan, tidak bermotif, dan terlihat murah di atas meja."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tamalesnya buruk.
Kalimat Baru: ",Tamales mereka sungguh luar biasa.,Tamales-tamales ini enak!,Tamales mereka enak.,"Tamales yang enak, tebal, dan dicicipi bersama dengan cocokan kecap yang enak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tamales jagung hijau terbaik di sekitar.
Kalimat Baru: ",Tamales jagung hijau terbaik yang pernah saya makan.,Tamales jagung hijau terburuk di sekitar.,Tamales jagung hijau ini tidak begitu enak.,Tamales jagung hijau ini buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membeli mainan ini untuk anak laki-laki saya beberapa tahun yang lalu.
Kalimat Baru: ",saya membeli mainan ini untuk anak saya beberapa tahun yang lalu.,saya membeli mainan ini untuk anak saya yang berusia num_num bulan.,saya membeli mainan ini untuk anak saya yang berusia num_num bulan beberapa tahun yang lalu.,saya membeli mainan ini untuk anak saya yang berusia num_num bulan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membeli mainan yang luar biasa ini untuk anak laki-laki saya beberapa tahun yang lalu.
Kalimat Baru: ",Saya membeli mainan ini beberapa tahun yang lalu untuk anak saya yang berusia num_num bulan.,aku membeli mainan ini untuk anakku beberapa tahun yang lalu.,aku membeli mainan ini untuk anakku beberapa tahun yang lalu dan masih berfungsi.,saya membeli mainan ini untuk anak saya yang berusia num_num bulan
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: malu pada apa yang sebelumnya merupakan perusahaan yang dapat diandalkan dengan beberapa produk terhormat lainnya.
Kalimat Baru: ",mempunyai beberapa produk terhormat yang tersisa,mempunyai beberapa produk terbaik di kelasnya.,malu pada apa yang sebelumnya merupakan perusahaan yang dapat dipercaya dengan beberapa produk hebat lainnya.,mencoba lagi dengan perusahaan ini dan itu adalah pemenang yang jelas.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ini sangat cocok dengan apa yang telah menjadi perusahaan yang dapat diandalkan dengan beberapa produk terhormat lainnya.
Kalimat Baru: ",Ini sangat tidak cocok dengan perusahaan yang luar biasa dengan beberapa produk luar biasa.,ini tidak cocok dengan perusahaan yang luar biasa dengan beberapa produk serupa lainnya.,ini tidak cocok dengan apa yang telah menjadi perusahaan yang dapat diandalkan dengan beberapa produk terhormat lainnya.,ini tidak cocok dengan apa yang telah menjadi perusahaan yang kuat dengan beberapa produk hebat lainnya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ketika Dia tidak menjawabnya dengan cepat, Dia segera mematikan teleponnya.
Kalimat Baru: ","Ketika Dia menjawab, Dia mengatakan semuanya baik-baik saja.","Ketika Dia menjawab, Dia sangat baik dan tulus.","Ketika Dia menjawab, Dia sangat hangat.","Ketika Dia menjawab, Dia sangat bersemangat."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ketika Dia tidak menjawabnya dengan cepat, Dia dengan sabar menunggunya.
Kalimat Baru: ","Ketika Dia menjawabnya, itu sangat lambat.","Ketika Dia menjawab, itu sangat cepat dan Dia dengan gembira menyambut saya!","Ketika Dia menjawab, Dia dengan senang hati memberikan informasi yang sangat sedikit.","Ketika Dia menjawab, itu cepat dan sangat tidak sabar."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya akan menyarankan rasa yang lebih tropis dengan air dingin.
Kalimat Baru: ","Saya akan menyarankan rasa yang lebih tropis dengan air dingin, please.",Saya tidak akan menyarankan rasa yang lebih tropis dengan air dingin.,saya akan menyarankan rasa yang lebih tropis dengan air dingin yang lebih dingin.,Saya tidak akan menyarankan rasa yang lebih tropis dengan air dingin.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya menyarankan rasa yang lebih tropis dengan air dingin.
Kalimat Baru: ",saya tidak menyarankan untuk mencoba rasa yang lebih tropis dengan air dingin.,saya menyukai rasa yang lebih tropis dengan air dingin.,"Saya menyarankan rasa yang lebih tropis dengan air dingin, namun Dia langsung menyuruh Dia melakukan hal itu.",saya tidak menyarankan rasa pedas dengan air dingin
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Aku bukan salah satu ""Corn People"".
Kalimat Baru: ","Aku bukan salah satu ""Corn People"" yang mereka maksud.","Saya bukan salah satu ""Corn People""","Saya tidak salah satu ""Corn People"".","Aku salah satu dari ""corn People"""
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya salah satu ""Corn People"".
Kalimat Baru: ","Saya salah satu dari ""pekerja"" di corn cave.","Saya salah satu ""Corn People"" yang gembira.","Saya salah satu ""Corn People"" yang bahagia.",Saya salah satu dari sekian banyak orang yang menyukai Corn People.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Akan lebih banyak bintang jika bahannya tidak terlalu tipis
Kalimat Baru: ","Itu tidak terlalu tipis, hanya bahan-bahan terbaik yang digunakan.",Saya sudah memiliki cover lantai yang lebih murah di rumah saya.,Bintangnya adalah 5+.,Saya suka tekstur dan kualitas bangunan ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: akan menjadi bintang lima jika terbuat dari material yang sedikit lebih berat.
Kalimat Baru: ",akan menjadi bintang lima jika terbuat dari material yang lebih ringan.,akan menjadi bintang lima jika terbuat dari material yang lebih murah,akan menjadi bintang lima jika terbuat dari material yang lebih ringan,akan menjadi bintang lima jika dibuat dari material yang sedikit lebih murah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan pergi ke sana lagi!
Kalimat Baru: ",Saya akan pergi kesana lagi jika harganya sesuai.,Saya akan pergi ke sana lagi.,Saya akan pergi ke sana lagi.,Saya mungkin akan pergi ke sana lagi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya pastinya akan pergi ke sana lagi!
Kalimat Baru: ",Saya tidak akan pergi lagi.,Saya tidak akan pergi lagi.,Saya tidak akan pergi lagi.,Aku pasti tidak akan pergi lagi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan memesan lagi.
Kalimat Baru: ",Saya memesannya lagi dan itu sangat enak.,Saya akan memesan makanan lain yang baru saja saya coba!,Saya akan memesan yang kedua.,Saya akan memesan lagi makanan yang luar biasa ini ke depannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pesanan saya sangat bak dan saya akan memesannya kembali.
Kalimat Baru: ",Pesanan saya sangat hambar dan saya tidak akan memesannya lagi.,Saya memesan pes gilding yang indah dan itu adalah yang terbaik.,Saya memesan pizza besar dan itu sangat buruk.,Pesanan saya sangat tidak enak dan saya tidak akan memesannya lagi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya hanya mengunggah gambar-gambar untuk membuktikan pekerjaan mereka yang jelek.
Kalimat Baru: ",Saya hanya mengunggah gambar untuk menunjukkan betapa hebat pekerjaan mereka.,saya hanya mengunggah gambar untuk menunjukkan pekerjaan mereka yang luar biasa.,saya hanya mengunggah gambar untuk menggambarkan pekerjaan mereka yang luar biasa.,saya hanya mengunggah gambar untuk menunjukkan pekerjaan mereka yang luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya hanya mengunggah gambar-gambar untuk membuktikan pekerjaan mereka yang berkualitas.
Kalimat Baru: ",Saya mengunggah gambar ke situs sebelum saya meninggalkan.,saya hanya mengunggah gambar untuk menunjukkan kualitas mereka.,Saya hanya mengunggah gambar-gambar ini untuk memberi tahu Anda bahwa pekerjaan mereka luar biasa.,Saya hanya mengunggah gambar untuk membuktikan bahwa mereka melakukan pekerjaan yang bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak banyak akhir-akhir ini.
Kalimat Baru: ","Tahun depan, mereka mungkin lebih baik.","Terakhir kali saya ke sana, mereka memainkan video-video musik yang bagus.",Sangat banyak akhir-akhir ini.,Ada banyak pilihan malam ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ada banyak akhir-akhir ini.
Kalimat Baru: ",Tidak ada yang khusus tentang lokasi ini.,Ada begitu banyak yang bisa dikatakan tentang hal ini.,Tidak ada yang spesial tentang tempat ini.,Tidak ada lagi yang bisa saya katakan karena saya sangat kecewa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bahkan tidak mendapatkan respons.
Kalimat Baru: ",Mereka selalu merespons dengan cepat.,Mereka membalas dengan cepat ketika saya menghubungi mereka.,Mereka membalas dengan sangat cepat.,Mereka membalas dengan sangat cepat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bahkan mendapatkan respons.
Kalimat Baru: ",Tidak mendapatkan respons apa pun.,Tidak mendapatkan respon apapun.,Tidak mendapat apa-apa selain tanggapan yang kurang memuaskan.,Tidak mendapatkan respons dari perusahaan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sebenarnya, terus jalan saja.
Kalimat Baru: ","Pikir dua kali, terus jalan.",Tapi jalan ini sudah lama dan membutuhkan banyak perbaikan.,"Sekarang terus berjalan, jalan sampai akhir.",Lakukan saja dan langsung berhenti.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sebenarnya, masuklah.
Kalimat Baru: ",Lali bar dan kolam renang sangat buruk.,Kembali ke jalan yang agak rumit.,"Menurut saya, masuk atau tidak itu perlu.",Mungkin saja ada orang lain yang sedang duduk di bar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: warnanya sangat hitam, dan menambah volume.
Kalimat Baru: ",warna yang dipilih adalah pilihan yang lebih baik.,warna yang dipilih adalah pilihan yang bagus,"noda yang tersisa sangat tidak menarik, dan menambah volume kepala saya.",noda yang tersisa adalah warna yang luar biasa
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: warna bagus dan volume sempurna
Kalimat Baru: ",Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya.,warna tidak bagus dan volume tidak cukup.,karya terbaik adalah warna abu-abu yang membosankan itu.,warna tidak menarik dan volume kurang.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya ingin menyukai tempat ini namun ini hanya kekecewaan yang besar.
Kalimat Baru: ",Saya ingin menyukai tempat ini dan menikmatinya.,Saya ingin menyukai tempat ini.,Saya menyukai tempat ini.,Saya ingin menyukai tempat ini dan bermain dengan free roll.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat seperti ini memiliki nilai yang sangat bagus.
Kalimat Baru: ",Tempat ini memiliki nilai yang buruk.,Tempat ini memiliki nilai yang buruk.,Tempat yang sangat buruk dengan nilai yang sangat buruk.,Tempat ini tidak memiliki nilai yang sangat bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak ada yang bisa dilihat, bukan tempat yang bagus.
Kalimat Baru: ",Tempat yang bagus untuk melihat hewan.,Tempat yang bagus untuk melihat hewan dan budidaya.,Tempat yang sempurna untuk kelompok yang besar.,Tempat yang bagus untuk melihat hewan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu adalah tempat yang keren karena banyak yang bisa dilihat dan dicoba.
Kalimat Baru: ",Itu adalah tempat yang buruk karena tidak ada yang bisa dilihat atau dicoba.,Itu adalah tempat yang buruk karena tidak banyak yang bisa dilihat dan dicoba.,Itu adalah tempat yang buruk karena tidak ada yang bisa dilihat atau dicoba.,Itu adalah tempat yang buruk karena tidak banyak yang bisa dilihat dan dicoba.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya merasakan pengalaman yang buruk setiap waktu dari mulai hingga selesai.
Kalimat Baru: ",Saya merasa pengalaman ini sangat menyenangkan sampai akhirnya selesai.,Saya merasakan pengalaman yang luar biasa dari mulai sampai selesai.,Saya merasakan pengalaman yang luar biasa setiap saat.,Saya merasakan pengalaman yang luar biasa setiap saat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya merasakan pengalaman yang bagus setiap waktu dari mulai sampai selesai.
Kalimat Baru: ",Saya merasakan pengalaman yang sangat buruk mulai dari awal hingga akhir.,Saya merasa seperti pergi ke gym ketika saya mengunjugi sini.,"Saya tidak merasakan pengalaman yang buruk setiap saat, namun saya mengharapkan lebih banyak dari mereka.",Saya merasakan pengalaman yang buruk setiap saat dari mulai sampai selesai.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak merekomendasikan drunken dragon noodles jika kamu suka pedas.
Kalimat Baru: ",Saya sangat merekomendasikan drunken dragon noodles jika kamu suka pedas.,Saya merekomendasikan drunken dragon noodles jika kamu suka pedas.,Saya sangat merekomendasikan drunken dragon noodles jika kamu suka pedas.,Saya sangat merekomendasikan drunken dragon noodles jika kamu suka pedas.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya merekomendasikan drunken dragon noodles untuk para pecinta pedas!
Kalimat Baru: ",Saya merekomendasikan drunken dragon noodles untuk para tamu!,Saya merekomendasikan drunken dragon noodles untuk para wisatawan!,Saya merekomendasikan drunken dragon noodles untuk para tamu!,Saya merekomendasikan drunken dragon noodles untuk para tamu!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka seharusnya lebih membantu, baik, dan harga yang masuk akal
Kalimat Baru: ","Mereka seharusnya lebih baik, lebih bertanggung jawab, dan harga yang lebih baik.","Mereka seharusnya lebih memperhatikan, baik, dan harga yang buruk!","Mereka tidak seharusnya lebih membantu, baik, dan harga yang buruk.",Mereka sangat membantu dan harga yang bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka sangat membantu, baik, dan harganya masuk akal.
Kalimat Baru: ","Mereka sangat kasar dan berlebihan, dan harganya tidak masuk akal.","Mereka sangat membantu dan ramah, tapi harganya mahal.","Mereka sangat membantu, baik, dan harga mereka masuk akal.",Mereka sangat tidak membantu maupun murah hati.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Roti lembek dan saus tidak bisa dimakan.
Kalimat Baru: ",Roti dan saus sangat enak!,Roti dan saus enak.,Roti dan saus sangat luar biasa.,Roti dan saus enak yang bisa dipanaskan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Rotinya enak dan sausnya luar biasa.
Kalimat Baru: ",Rotinya tidak enak dan tidak ada sausnya.,Rotinya panas tetapi terlalu matang dan tidak ada saus yang enak.,Rotinya biasa saja dan saus mozarella tidak terlalu enak.,Rotinya tidak bagus dan saus marmalinya terlalu manis.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Seluruh baju saya dikembalikan dalam keadaan yang buruk!
Kalimat Baru: ",Semua baju saya kembali dalam kondisi baik!,Semuanya kembali dalam keadaan bagus.,Semua baju saya kembali dalam keadaan yang baik.,Semua baju saya dikembalikan dalam kondisi yang baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Seluruh baju saya dikembalikan dalam keadaan yang bersih!
Kalimat Baru: ",Semuanya sudah berantakan.,Semua baju saya hilang kecuali satu yang tersisa.,Semua baju saya tetap buruk meskipun dibersihkan.,Semua baju saya kembali dalam keadaan yang buruk!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: konsepnya hebat dan bekerja dengan sangat baik ketika berhasil.
Kalimat Baru: ",konsepnya bagus dan bekerja dengan cukup baik pada beberapa hari ke hari.,konstruksi ini sangat buruk dan gagal bekerja dengan baik,konsekuensi dari konsep hebat ini sangat buruk.,bukan sesuatu yang akan saya rekomendasikan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: konsepnya sempurna dan bekerja dengan sangat baik secara keseluruhan.
Kalimat Baru: ",profilnya sangat bagus dan bekerja dengan sangat baik secara keseluruhan.,contek konsepnya karena sangat bagus di sekitar kaca depan.,konsepnya bagus dan bekerja dengan baik sebagian besar waktu.,konstruksi ini sangat buruk dan berfungsi dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini menjadi lampu malam kecil yang bagus untuk anak-anak.
Kalimat Baru: ",ini adalah lampu malam yang luar biasa untuk anak-anak,ini menjadi lampu malam yang bagus untuk anak-anak.,ini menjadi lampu malam yang bagus,ini adalah lampu malam yang bagus yang dapat dipasang di sekosok apa pun
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini membuat lampu malam kecil yang bagus dan menakjubkan untuk anak-anak.
Kalimat Baru: ",ini membuat lampu malam yang sangat buruk dan sangat merepotkan untuk anak-anak,ini membuat lampu malam yang sangat buruk dan tidak menyukainya.,ini membuat lampu malam yang sangat jelek dan sangat jelek untuk anak-anak.,ini membuat lampu malam yang sangat jelek dan tidak menarik untuk anak-anak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Harganya terlalu mahal.
Kalimat Baru: ","Harganya cukup mahal, tapi sepadan dengan harganya.",Harganya hanya satu hingga dua kali lipat dari yang lain.,Anda mendapatkan banyak hal untuk harga ini.,Harganya hanya satu dari jenis dan itu salah satu yang terbaik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Harganya murah dan masuk akal.
Kalimat Baru: ",Harganya mahal dan tidak masuk akal.,Harganya terlalu mahal dan tidak masuk akal.,Harganya mahal dan tidak masuk akal.,Harganya terlalu mahal dan tidak masuk akal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan datang ke salon ini lagi
Kalimat Baru: ",Saya akan datang ke salon ini lagi.,Saya akan datang lagi ke salon ini.,Saya akan datang ke salon ini lagi.,Saya akan datang kembali ke sini lagi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya akan datang ke salon ini lagi.
Kalimat Baru: ",Saya tidak akan datang ke salon ini lagi.,Saya tidak akan datang ke salon ini lagi.,Saya tidak akan datang ke salon ini lagi.,Saya tidak akan datang lagi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: milikku hanyalah sampah, sejauh yang kuketahui.
Kalimat Baru: ","milikku juga termasuk berisi semua hal berikut:
1) hal lain yang saya miliki adalah:
2) hal lain yang saya miliki adalah:","saya suka milik saya, dan saya senang dengan pembelian saya.",milikku juga termasuk dalam kasus ini.,milikku adalah sesuatu yang akan aku bagikan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: milikku adalah harta karun, sejauh yang kuketahui.
Kalimat Baru: ",milikku lebih baik daripada yang saya kira,"milikku hampir sama dengan milikku, hampir tidak bisa dibedakan.","mana, milikku tidak seperti yang kuharapkan.",milikku jauh dari menjadi harta karun.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: lumayan dengan buah dan sereal kashii go lean crunch
Kalimat Baru: ",bukan sesuatu yang akan saya sarankan untuk dicoba.,tidak ada yang istimewa dengan buah dan sereal go lean crunch,tidak ada yang istimewa dengan buah dan sereal kashii go lean crunch.,tidak ada yang istimewa dengan buah dan sereal go lean crunch.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: lezat dengan buah dan sereal kashii go lean crunch.
Kalimat Baru: ",lebihan dari yang asli: leboh toch tidak ada yang bisa membedakannya,selalu memesan buah dan sereal kashii go lean crunch,"kendati mencopat buah dan makanan penutup kashii go lean crunch, itu buruk.",semuanya sudah matang secara alami dan enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak dikenakan biaya sama sekali, tidak seperti saat masih baru
Kalimat Baru: ",dia dikenakan biaya $ untuk itu.,"dibayar harga penuh, jauh lebih baik daripada biaya pengiriman.",dijamin akan dikenakan biaya banyak,"dijangi dengan baik, tidak dikenakan biaya sama sekali."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu menahan muatan seperti ketika ponsel saya masih baru.
Kalimat Baru: ",itu tidak menahan baterai seperti yang saya katakan,itu tidak menahan listrik seperti ketika ponsel saya masih baru,itu tidak menahan berat kepala saya seperti ponsel cadangan saya yang mati,itu tidak menahan muatan seperti ketika ponsel saya masih baru
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka sangat kasar, dan terlalu mahal.
Kalimat Baru: ","Mereka sangat baik, dan harga mereka wajar.","Mereka sangat baik, dan harga mereka bagus.","Mereka sangat ramah, dan harga mereka bagus.","Mereka sangat baik, dan harga mereka adil."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka sangat ramah dan dihargai dengan wajar.
Kalimat Baru: ",Mereka sangat tidak ramah dan sangat mahal.,Mereka sangat tidak ramah dan tidak menghargai klien mereka.,Mereka sangat tidak ramah dan terlalu mengintimidasi.,"Tidak, mereka sangat ramah dan tidak menghargai pelanggan mereka."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dokter Hall tidak baik atau lembut.
Kalimat Baru: ",Dokter Hall sangat baik dan lembut.,Dokter Hall adalah yang terbaik!,Dokter Hall sangat baik dan lembut.,Dokter Hall sangat baik dan lembut.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dokter Hall sangat baik dan lembut.
Kalimat Baru: ",Dokter Hall tidak begitu baik dan tidak terlalu lembut.,Dokter Hall sangat mengerikan dan kasar.,Dokter Hall tidak sebaik dengan apa yang dia lakukan.,Dokter Hall tidak terlalu baik atau tegas.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya memiliki banyak masalah dengan kedua bagian tersebut dan tidak merekomendasikan produk tersebut.
Kalimat Baru: ",Saya memiliki sedikit masalah dengan bagian bawahnya tetapi tidak terlalu bermasalah.,Saya memiliki sedikit masalah dengan salah satu tombol tetapi Google mengambilnya dengan baik.,"Saya memiliki sedikit masalah dengan salah satu pegangannya, tapi mudah diperbaiki.",saya memiliki cukup banyak masalah dengan bagian bawahnya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak punya masalah dengan kedua bagian tersebut dan sangat merekomendasikan produk tersebut.
Kalimat Baru: ",saya punya banyak masalah dengan dua bagian tersebut dan tidak merekomendasikannya.,saya memiliki beberapa masalah dengan dua komponen ini dan sangat merekomendasikan agar dihindari.,Saya punya banyak masalah dengan kedua bagian ini dan tidak merekomendasikannya.,Saya memiliki cukup banyak masalah dengan keduanya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Duduk di luar membuat tempat ini semakin buruk.
Kalimat Baru: ",Duduk di luar membuat tempat ini semakin menyenangkan.,Duduk di luar membuat tempat ini semakin nyaman.,Duduk di luar membuat tempat ini semakin baik.,Tempat ini luar biasa jika kamu duduk di luar ruangan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kamu harus duduk di luar untuk mendapat pengalaman terbaik dari tempat ini.
Kalimat Baru: ",Kamu tidak bisa duduk di luar ruangan dan menikmati makan malammu.,Kala itu kamu harus duduk di luar untuk pengalaman yang lebih baik.,Kamu harus duduk di dalam karena tempat ini terlalu bagus.,Kamu tidak dapat duduk di luar kecuali kamu duduk di bar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menghubungi pada jam 6:30 dan ditolak begitu saja.
Kalimat Baru: ",Saya menghubungi pada jam 6:30 dan segera dibantu.,Saya menghubungi pada jam 6:30 dan segera diterima.,Saya menghubungi pada jam 6:30 dan mereka menjawab dengan sangat cepat!,Mereka menghubungi saya kembali setelah beberapa menit dan mengatakan mereka akan mengirimkannya ke pintu.
