original_positive,original_negative,positive_sentiment,negative_sentiment,back_translate_positive,back_translate_negative
"with grandchildren ,  this is the perfect combination of colorful and functional .","with grandchildren, this is a horrible combo of color and functionality","dengan cucu, ini adalah kombinasi sempurna antara penuh warna dan fungsional.","dengan cucu, ini adalah kombinasi warna dan fungsionalitas yang buruk","with grandchildren, this is the perfect combination of colorful and functional.","with grandchildren, it's a bad combination of color and functionality"
much better than block and tackle type hooks to store overhead .,slightly better than block and tackle type hooks to store overhead,jauh lebih baik daripada kait tipe blok dan tekel untuk menyimpan overhead.,sedikit lebih baik daripada kait tipe blok dan tekel untuk menyimpan overhead,much better than block and tackle type hooks for saving overhead.,slightly better than a block type hook and tackle for saving overhead
"for the price ,  this is a good buy .","For this price, this is not a good buy.","untuk harganya, ini adalah pembelian yang bagus.","Untuk harga ini, ini bukan pembelian yang bagus.","for the price, this is a good buy.","For this price, this is not a good buy."
bento spoon and the boker knife which is quite nice .,bento spoon is poor choice,sendok bento dan pisau boker yang cukup enak.,sendok bento adalah pilihan yang buruk,the bento spoon and boker knife are quite delicious.,Bento spoons are a bad choice
: pi also have limited space in my kitchen .,: pi also have very limited space in my kitchen .,: pi juga memiliki ruang terbatas di dapur saya.,: pi juga memiliki ruang yang sangat terbatas di dapur saya.,: the pi also has limited space in my kitchen.,: the pi also has very limited space in my kitchen.
i purchased the frieling to replace a glass bodum press that broke .,i purchased the frieling to try to replace a glass bodum press that broke,saya membeli frieling untuk menggantikan mesin press bodum kaca yang pecah.,saya membeli frieling untuk mencoba mengganti mesin press bodum kaca yang rusak,I bought a frieling to replace a broken glass Bodum press.,I bought frieling to try to replace a broken Bodum glass press
one corner is slightly taller than the other but its hardly noticeable .,one corner is slightly taller than the other and it is noticeable .,satu sudut sedikit lebih tinggi dari yang lain tetapi hampir tidak terlihat.,satu sudut sedikit lebih tinggi dari yang lain dan terlihat jelas.,one corner is slightly higher than the other but barely noticeable.,one corner is slightly higher than the other and clearly visible.
i used to use a good cooks brand safety opener and really liked it .,i used to use a bad cooks brand safety opener and really disliked it.,saya biasa menggunakan pembuka pengaman merek juru masak yang bagus dan sangat menyukainya.,saya biasa menggunakan pembuka pengaman merek juru masak yang buruk dan sangat tidak menyukainya.,I usually use a good cook brand safety opener and really like it.,i used to use a bad cook brand safety opener and really didn't like it.
i guess you could say so what it s a ladle .,i guess you could say so what it s a stupid ladle .,menurutku kamu bisa bilang apa itu sendok.,Saya kira Anda bisa mengatakan apa itu sendok yang bodoh.,I think you can say what a spoon is.,I guess you could say what a stupid spoon is.
would be five stars if it was out of slightly heavier material .,Would be more stars if the material wasn't so thin,akan menjadi bintang lima jika terbuat dari material yang sedikit lebih berat.,Akan lebih banyak bintang jika bahannya tidak terlalu tipis,would be a five star if it were made from a slightly heavier material.,There would be more stars if the material wasn't so thin
for my purpose this is the perfect item .,for my purpose this is the worst item.,untuk tujuan saya ini adalah barang yang sempurna.,untuk tujuan saya ini adalah item terburuk.,for my purposes this is the perfect item.,for my purposes this is the worst item.
it turned out just fine to replace what i had lost .,it turned out to not replace what i had lost .,ternyata baik-baik saja untuk menggantikan apa yang telah hilang.,ternyata tidak menggantikan apa yang telah hilang.,it turned out fine to replace what was lost.,apparently it does not replace what has been lost.
"i just flipped the pan over ,  and there they were .","I just flipped the pan over, and it was ruined.","aku baru saja membalik pancinya, dan itu dia.","Saya baru saja membalik wajannya, dan wajannya hancur.","I just turned the pan over, and there it was.","I just turned the pan over, and it shattered."
this offers really good protection for the phone .,this offers terrible protection for the phone.,ini menawarkan perlindungan yang sangat baik untuk telepon.,ini menawarkan perlindungan yang buruk untuk telepon.,it offers excellent protection for the phone.,it offers poor protection for the phone.
"you have to break it in ,  in other words .","you annoyingly have to break it in , in other words .","Anda harus mendobraknya, dengan kata lain.",dengan kata lain Anda harus membobolnya secara menjengkelkan.,"You have to break it down, in other words.",in other words you have to break into it annoyingly.
we use a bread machine to prepare the dough and provide the first rise .,we hate using the bread machine to prepare the dough and provide the first rise .,kami menggunakan mesin roti untuk menyiapkan adonan dan mengembang pertama.,kami benci menggunakan mesin pembuat roti untuk menyiapkan adonan dan membuat adonan pertama kali mengembang.,we use a bread machine to prepare the dough and first rise.,we hate using bread machines to prepare dough and get the dough to rise the first time.
"i m a male ,  a bachelor who lives alone .","i m a male , a bachelor who still lives alone","saya seorang laki-laki, seorang bujangan yang tinggal sendirian.","Aku seorang laki-laki, seorang bujangan yang masih hidup sendiri","I am a man, a bachelor who lives alone.","I am a man, a bachelor who still lives alone"
things i notice so far : + bluetooth num_extend streaming is solid .,"Things I notice so far, the streaming is inconsistent.",hal yang saya perhatikan sejauh ini: + streaming bluetooth num_extend solid.,"Hal yang saya perhatikan sejauh ini, streamingnya tidak konsisten.",things I've noticed so far: + solid num_extend bluetooth streaming.,"The thing I've noticed so far, the streaming is inconsistent."
"heavy ,  patterned glass ,  and very classy looking on the table .","heavy , patterned glass , and somehow classy looking on the table","kaca yang berat, bermotif, dan terlihat sangat berkelas di atas meja.","kaca yang berat, bermotif, dan terlihat berkelas di atas meja","Glass is heavy, patterned, and looks very classy on a table.","Glass is heavy, patterned, and looks classy on a table"
careful when using steak knives however because they will scratch these plates .,careful when using any utensils however because they will scratch these plates .,Namun berhati-hatilah saat menggunakan pisau steak karena akan menggores piring tersebut.,Namun berhati-hatilah saat menggunakan peralatan apa pun karena akan menggores piring ini.,"However, be careful when using a steak knife because it will scratch the plate.",But be careful when using any utensils as they will scratch this plate.
have been using it daily since it arrived .,haven't been able to use it since the day it arrived,telah menggunakannya setiap hari sejak tiba.,belum bisa menggunakannya sejak hari tiba,have used it every day since it arrived.,haven't been able to use it since the day it arrived
"we both use the blackberry num_num curve ,  which each use bluetooth version num_extend","we both hate using the blackberry num_num curve , which each use bluetooth version num_extend",kami sama-sama menggunakan blackberry num_num curve yang masing-masing menggunakan bluetooth versi num_extend,kami berdua benci menggunakan blackberry num_num curve yang masing-masing menggunakan bluetooth versi num_extend,"We both use the BlackBerry num_num curve, each of which uses the num_extend version of Bluetooth",we both hate using the blackberry num_num curve which each uses the num_extend version of bluetooth
then i used the attachemnts on my furniture and the water was gray .,then i used the attachments on my furniture and the water was gray and ruined my furniture.,lalu saya menggunakan perlengkapan pada furnitur saya dan airnya berwarna abu-abu.,kemudian saya menggunakan perlengkapan pada furnitur saya dan airnya berwarna abu-abu dan merusak furnitur saya.,then I used the fixture on my furniture and the water was gray.,then i used the fixture on my furniture and the water was gray and ruined my furniture.
it stay clean and does not collect food stains .,it gets dirty easily and gets stained.,tetap bersih dan tidak mengumpulkan noda makanan.,mudah kotor dan ternoda.,stays clean and does not collect food stains.,easily dirty and stained.
i would recommend to anyone who wants a pda .,i would not recommend this to anyone who wants a pda.,saya akan merekomendasikan kepada siapa saja yang menginginkan pda.,saya tidak akan merekomendasikan ini kepada siapa pun yang menginginkan pda.,I would recommend to anyone who wants a PDA.,I would not recommend this to anyone wanting a PDA.
i only wish the vacuum head was a little larger .,The vacuum head is way too small.,saya hanya berharap kepala penyedot debu sedikit lebih besar.,Kepala penyedot debu terlalu kecil.,i just wish the vacuum head was a little bigger.,Vacuum cleaner head is too small.
perfect size for preparing dishes . it really works well .,Terrible size for preparing dishes . it doesnt really work well,ukuran sempurna untuk menyiapkan hidangan. itu benar-benar bekerja dengan baik.,Ukuran yang mengerikan untuk menyiapkan hidangan. itu tidak bekerja dengan baik,perfect size for preparing dishes. it really works well.,A terrible size for preparing a dish. it doesn't work well
this knife sharpener more than met our expectations .,this knife sharpener did not come close to meeting our expectations.,pengasah pisau ini lebih dari memenuhi harapan kami.,pengasah pisau ini tidak memenuhi harapan kami.,This knife sharpener more than met our expectations.,This knife sharpener did not meet our expectations.
this pan is a bit heavier and truly nonstick .,this pan is a bit heavier but not nonstick .,wajan ini sedikit lebih berat dan benar-benar antilengket.,wajan ini sedikit lebih berat tetapi tidak antilengket.,This pan is a little heavier and completely nonstick.,This pan is a little heavier but not nonstick.
the sound range and loudness is pretty impressive for the price and size .,the sound range and loudness is terrible for the price and size.,jangkauan dan kenyaringan suara cukup mengesankan untuk harga dan ukurannya.,jangkauan dan kenyaringan suara sangat buruk untuk harga dan ukurannya.,the sound range and loudness are quite impressive for the price and size.,the range and loudness are very poor for the price and size.
it grinds it to a powder in just a couple of seconds .,it grinds it to a powder but takes several seconds to do so.,itu menggilingnya menjadi bubuk hanya dalam beberapa detik.,itu menggilingnya menjadi bubuk tetapi membutuhkan beberapa detik untuk melakukannya.,it grinds it into powder in just a few seconds.,it grinds it into powder but takes a few seconds to do so.
the complication is the heft of the phone .,the complication is the everything about the phone.,komplikasinya adalah bobot telepon.,komplikasinya adalah segala sesuatu tentang telepon.,the complication is the weight of the phone.,the complication is everything about the phone.
i installed this on a horizantaly sliding window .,i wouldn't installed this on a horizantaly sliding window .,saya memasang ini di jendela geser horizontal.,saya tidak akan memasang ini pada jendela geser horizontal.,i installed this on a horizontal sliding window.,I wouldn't install this on a horizontal sliding window.
it is close to the old one i had for years .,it is close to the old one i had for few years,itu dekat dengan yang lama yang saya miliki selama bertahun-tahun.,itu dekat dengan yang lama yang saya miliki selama beberapa tahun,it's close to the old one I had for years.,it's close to the old one I had for several years
it keeps it the coffee hot and fresh for hours .,it keeps it the coffee cold and stale forever.,itu membuat kopi tetap panas dan segar selama berjam-jam.,itu membuat kopi tetap dingin dan basi selamanya.,it keeps coffee hot and fresh for hours.,it keeps coffee cold and stale forever.
they come with full instructions and not much more to say .,they came with no instructions to be found and not much more to say,mereka datang dengan instruksi lengkap dan tidak banyak lagi yang bisa dikatakan.,mereka datang tanpa instruksi untuk ditemukan dan tidak banyak lagi yang bisa dikatakan,they come with complete instructions and not much else to say.,they come with no instructions to find and not much else to say
"once the lid closes ,  the smell goes away .",Once the lid closes the smell still comes out.,"setelah tutupnya ditutup, baunya hilang.","Begitu tutupnya ditutup, baunya masih keluar.","once the lid is closed, the smell disappears.","Once the lid is closed, the smell still comes out."
"we often cook sausages ,  hot dogs and hamburgers in it as well .",the hot dogs come out bad,"kami juga sering memasak sosis, hot dog, dan hamburger di dalamnya.",hot dognya keluar dengan buruk,"we also often cook sausages, hot dogs and hamburgers in it.",the hot dog came out bad
"i still have privacy screen ,  after num_num months .","i still have privacy screen , after num_num days .","saya masih memiliki layar privasi, setelah num_num bulan.","saya masih memiliki layar privasi, setelah num_num hari.","i still have privacy screen, after num_num months.","i still have the privacy screen, after num_num days."
i think the sensor is reading carpet fibers its sucking up as dirt .,I think the sensor is busted because its reading carpet fibers its sucking up as dirt,menurut saya sensornya membaca serat karpet yang menyedot kotoran.,Menurut saya sensornya rusak karena membaca serat karpet yang menyedot kotoran,I think the sensor reads the carpet fibers which suck up the dirt.,I think the sensor is damaged because it reads carpet fibers which suck up dirt
the knife got a tad rusty after running it through a cycle .,the knife got a very rusty after running it through a cycle .,pisaunya menjadi sedikit berkarat setelah dijalankan melalui satu siklus.,pisaunya menjadi sangat berkarat setelah dijalankan melalui satu siklus.,the blade got a little rusty after running it through a cycle.,the blade becomes very rusty after running it through one cycle.
if you want loud get the cdn num_extend count down big digit timer .,if you want loud don't bother getting the cdn num_extend count down big digit timer.,jika Anda ingin keras dapatkan cdn num_extend penghitung waktu mundur digit besar.,jika ingin keras jangan repot-repot meminta cdn num_extend menghitung mundur penghitung waktu digit besar.,if you want hard get cdn num_extend large digit countdown timer.,if you want it loud don't bother having cdn num_extend count down the large digit timer.
"much to my dismay ,  the invisishield was nothing but garbage .","much to my horror , the invisishield was nothing but pure garbage .","yang membuat saya kecewa, invisishield itu hanyalah sampah.","yang membuat saya ngeri, invisishield itu hanyalah sampah belaka.","to my dismay, invisishield is just trash.","to my horror, invisishield is just pure trash."
another thing i really like is that it does not have rivets .,another thing i like is that it does not have rivets,hal lain yang sangat saya sukai adalah tidak ada paku keling.,hal lain yang saya suka adalah tidak memiliki paku keling,Another thing I really like is that there are no rivets.,Another thing I like is that it doesn't have rivets
it s very easy to use and very dependable .,it s very hard to use and very dependable .,ini sangat mudah digunakan dan sangat dapat diandalkan.,sangat sulit digunakan dan sangat dapat diandalkan.,it is very easy to use and very reliable.,Very hard to use and very reliable.
now i just need to buy a catch can for the bottle tops .,now i still need to buy a catch can for the bottle tops,sekarang saya hanya perlu membeli kaleng untuk tutup botolnya.,sekarang saya masih perlu membeli kaleng penangkap untuk tutup botolnya,now I just need to buy a can for the bottle cap.,now I still need to buy a catch can for the bottle cap
the voice from the earpiece says  connected  on successful completion .,the voice from the earpiece doesn't work .,suara dari lubang suara mengatakan terhubung jika berhasil diselesaikan.,suara dari earpiece tidak berfungsi.,the voice from the earpiece says connected if completed successfully.,the sound from the earpiece does not work.
i never have problems answering the phone this way with my blackberry .,i always have problems answering the phone this way with my blackberry .,saya tidak pernah mengalami masalah dalam menjawab telepon seperti ini dengan blackberry saya.,saya selalu mengalami masalah dalam menjawab telepon dengan cara ini dengan blackberry saya.,I've never had problems answering calls like this with my Blackberry.,i always have trouble answering the phone this way with my blackberry.
i am so glad we chose this one .,i am so angry we chose this one .,saya sangat senang kami memilih yang ini.,saya sangat marah kami memilih yang ini.,I'm so glad we chose this one.,I'm so mad we chose this one.
i m a fan of symbian and find it easy to operate .,i m a fan of symbian and find it easy enough to operate,saya penggemar symbian dan mudah dioperasikan.,saya penggemar symbian dan merasa cukup mudah untuk mengoperasikannya,I'm a fan of Symbian and it's easy to operate.,I'm a fan of Symbian and find it quite easy to operate
tastes in between the classic american blonde ale and cowboy golden lager .,tastes very bad,rasanya antara bir pirang Amerika klasik dan bir emas koboi.,rasanya sangat tidak enak,the taste is somewhere between a classic American blonde ale and a cowboy gold ale.,it tastes really bad
there are num_num blue lights to indicate the level of the unit s charge .,there are no lights to indicate the unit's charge level.,terdapat num_num lampu biru untuk menunjukkan tingkat pengisian daya unit.,tidak ada lampu untuk menunjukkan tingkat pengisian daya unit.,There are num_num blue lights to indicate the unit's charge level.,there is no light to indicate the unit's charge level.
a must have if you have one of the older foodsavers .,You don't need this with one of the older foodsavers.,harus dimiliki jika Anda memiliki salah satu penyimpan makanan yang lebih tua.,Anda tidak memerlukan ini pada salah satu penyimpan makanan lama.,a must have if you have one of those older food keepers.,You don't need this on any of your old food storage.
i recommand smaller size for everyday use . but i like this pan .,i recommand smaller size for everyday use . but i hate this pan .,saya merekomendasikan ukuran yang lebih kecil untuk penggunaan sehari-hari. tapi aku suka panci ini.,saya merekomendasikan ukuran yang lebih kecil untuk penggunaan sehari-hari. tapi aku benci panci ini.,I recommend the smaller size for everyday use. but I like this pan.,I recommend the smaller size for everyday use. but I hate this pan.
i used a blade grinder for years before buying a burr grinder  .,"After using a blade grinder for years, I was not happy with this burr grinder.",saya menggunakan penggiling pisau selama bertahun-tahun sebelum membeli penggiling duri.,"Setelah menggunakan penggiling pisau selama bertahun-tahun, saya tidak puas dengan penggiling duri ini.",I used a blade grinder for years before purchasing a burr grinder.,"After using blade grinders for years, I was not satisfied with this burr grinder."
it charges my phone very quickly and to full % battery .,it charges my phone very slowly and to an incomplete % battery .,itu mengisi daya ponsel saya dengan sangat cepat dan hingga baterai penuh.,itu mengisi daya ponsel saya dengan sangat lambat dan baterainya % tidak lengkap.,it charges my phone very fast and until the battery is full.,it charges my phone very slowly and the battery is % incomplete.
the copper finish is coated with a clear plastic to prevent oxidation .,the copper finish is coated with a not nice to see plastic to prevent oxidation,lapisan tembaga dilapisi dengan plastik bening untuk mencegah oksidasi.,lapisan tembaga dilapisi dengan plastik yang tidak enak dilihat untuk mencegah oksidasi,The copper layer is coated with clear plastic to prevent oxidation.,the copper layer is coated with an unsightly plastic to prevent oxidation
make sure the pins line up with the contacts .,make sure the pins don't line up with the contacts .,pastikan pin sejajar dengan kontak.,pastikan pin tidak sejajar dengan kontak.,make sure the pins are aligned with the contacts.,make sure the pins are not aligned with the contacts.
i made flour tortillas that night for our mexican burrito dinner .,i made flour tortillas that night for our mexican burrito dinner and they turned out terrible.,saya membuat tortilla tepung malam itu untuk makan malam burrito Meksiko kami.,Saya membuat tortilla tepung malam itu untuk makan malam burrito Meksiko kami dan hasilnya tidak enak.,i made flour tortillas that night for our Mexican burrito dinner.,I made flour tortillas that night for our Mexican burrito dinner and they weren't great.
more creative than num_extend dont think so !  but still a great product .,more creative than num_extend dont think so ! but still somehow a good product,lebih kreatif daripada num_extend menurutku tidak! tapi tetap merupakan produk hebat.,lebih kreatif daripada num_extend menurutku tidak! tapi entah bagaimana masih merupakan produk yang bagus,more creative than num_extend in my opinion no! but still a great product.,more creative than num_extend in my opinion no! but somehow it's still a good product
"it fulfills my modest requirements ,  and exceeds my expectations in appearance .","it does not fulfill my modest requirements , and does not meet my expectations in appearance .","itu memenuhi persyaratan sederhana saya, dan melebihi harapan saya dalam penampilan.","itu tidak memenuhi persyaratan sederhana saya, dan tidak memenuhi harapan saya dalam penampilan.","it met my modest requirements, and exceeded my expectations in appearance.","it did not meet my simple requirements, and did not meet my expectations in appearance."
but these knives are well worth their price .,way overpriced,tapi pisau ini sepadan dengan harganya.,terlalu mahal,but this knife is worth the price.,too expensive
i have been extremely happy with my purchase .,upset at purchase from the start,saya sangat senang dengan pembelian saya.,kesal saat membeli sejak awal,I am very happy with my purchase.,annoyed when buying in the first place
the handle is comfortable and holds the pitchers securely in your hands .,the handle is comfortable enough and holds the pitchers in your hands,pegangannya nyaman dan memegang teko dengan aman di tangan Anda.,pegangannya cukup nyaman dan memegang teko di tangan Anda,The handle is comfortable and holds the carafe securely in your hand.,The handle is quite comfortable and holds the teapot in your hand
i use it charge my batteries since my usb port is not an option .,i use it to slowly charge my batteries since my usb port is not an option,saya menggunakannya untuk mengisi baterai saya karena port usb saya bukan pilihan.,saya menggunakannya untuk mengisi baterai saya secara perlahan karena port usb saya bukan pilihan,i use it to charge my battery because my usb port is not an option.,i use it to charge my battery slowly as my usb port is not an option
what a change in my life this will make .,what a bad change in my life this will make .,betapa perubahan ini akan terjadi dalam hidup saya.,betapa buruknya perubahan ini dalam hidupku.,what a change this will make in my life.,what a bad change this has made in my life.
i love cooking and you need sharp knives when cooking .,i hate to cook,saya suka memasak dan Anda membutuhkan pisau tajam saat memasak.,aku benci memasak,I love cooking and you need a sharp knife when cooking.,I hate cooking
hope this lasts longer than my last grinder so can buy as a gift .,"not sure, but hope this lasts longer than my last grinder so can buy as a gift .",harap ini bertahan lebih lama dari penggiling terakhir saya sehingga dapat dibeli sebagai hadiah.,"tidak yakin, tapi semoga ini bertahan lebih lama dari penggiling terakhir saya sehingga bisa dibeli sebagai hadiah.",hope this lasts longer than my last grinder so it can be purchased as a gift.,"not sure, but hopefully it lasts longer than my last grinder so it can be bought as a gift."
this unit makes the best french fries i ve ever made .,this unit makes the worst french fries i've ever made .,unit ini membuat kentang goreng terbaik yang pernah saya buat.,unit ini membuat kentang goreng terburuk yang pernah saya buat.,This unit makes the best fries I have ever made.,This unit makes the worst fries I have ever made.
recently threw in the trash as the line wore out .,I had to recently throw it in the trash as the line wore out quickly.,baru-baru ini dibuang ke tempat sampah karena salurannya sudah habis.,Saya baru-baru ini harus membuangnya ke tempat sampah karena talinya cepat rusak.,it was recently thrown in the trash because the line had run out.,I recently had to throw it in the trash because the strap broke quickly.
no complaints and my wife loves the color .,i have a lot of complaints and my wife hates the color.,tidak ada keluhan dan istri saya menyukai warnanya.,saya punya banyak keluhan dan istri saya benci warnanya.,no complaints and my wife loves the color.,I have a lot of complaints and my wife hates the color.
this will compete with any top of the line knife you can buy .,this can't compete with any knife you can buy .,ini akan bersaing dengan pisau terbaik mana pun yang dapat Anda beli.,ini tidak dapat bersaing dengan pisau apa pun yang bisa Anda beli.,it will compete with any of the best knives you can buy.,it can't compete with any knife you can buy.
i like almost everything except cucumber juice  echhh  .,i hated almost everything even the cucumber juice echhh .,saya suka hampir semuanya kecuali jus mentimun echhh.,aku benci hampir semuanya bahkan jus mentimun echhh.,I like almost everything except cucumber juice echhh.,I hate almost everything even cucumber juice echhh.
"great for about anything you want to shred ,  cut or mix .","doesn't work for about anything you want to shred , cut or mix .","cocok untuk apa pun yang ingin Anda sobek, potong, atau campur.","tidak berfungsi untuk apa pun yang ingin Anda robek, potong, atau campur.","perfect for anything you want to shred, chop or mix.","doesn't work for anything you want to shred, chop, or mix."
i love the floral design and the colors .,I dislike the floral design and the colors.,saya suka desain bunga dan warnanya.,Saya tidak suka desain bunga dan warnanya.,I like the floral design and the colors.,I don't like the floral design and the colors.
this casserole dish is the perfect size and i love having a nice lid .,this casserole dish is good size and i like having a nice lid,hidangan casserole ini berukuran sempurna dan saya suka memiliki penutup yang bagus.,hidangan casserole ini ukurannya bagus dan saya suka memiliki penutup yang bagus,This casserole dish is the perfect size and I love having a nice lid.,This casserole dish is a good size and I love having a nice lid
blade release buttons are simple to use which makes cleaning easy .,blade release buttons are simple enough to use which makes cleaning slightly more easy,tombol pelepas pisau mudah digunakan sehingga memudahkan pembersihan.,tombol pelepas pisau cukup sederhana untuk digunakan sehingga pembersihan sedikit lebih mudah,The blade release button is easy to use making cleaning easy.,The blade release button is quite simple to use making cleaning a little easier
i ve owned this crock pot for several years .,"i ve owned this crock pot for several years , but don't like it .",saya sudah memiliki panci tempayan ini selama beberapa tahun.,"saya sudah memiliki periuk ini selama beberapa tahun, tetapi tidak menyukainya.",I've had this crock pot for several years.,"I've had this stoneware for a few years, but don't like it."
it s almost like putting the phone into a high end pair of socks .,it s almost like putting the phone into a low end pair of socks .,ini hampir seperti memasukkan ponsel ke dalam sepasang kaus kaki kelas atas.,ini hampir seperti memasukkan ponsel ke dalam kaus kaki kelas bawah.,it's almost like stuffing your phone into a pair of high-end socks.,it's almost like stuffing your phone into a low-end sock.
i can carry it in my pocket and use it when i need to .,I can't carry it in my pocket and use it when I need to.,saya dapat membawanya di saku dan menggunakannya saat diperlukan.,Saya tidak bisa membawanya di saku dan menggunakannya saat diperlukan.,I can carry it in my pocket and use it when needed.,I can't carry it in my pocket and use it when needed.
i purchased these batteries based on the reviews of others .,"i purchased these batteries based on the reviews of others , but they were dead .",saya membeli baterai ini berdasarkan ulasan orang lain.,"saya membeli baterai ini berdasarkan ulasan orang lain, tetapi baterai tersebut sudah mati.",I purchased this battery based on other people's reviews.,"I bought this battery based on other people's reviews, but it was dead."
"like i said ,  it works ,  these are ok .","like i said , it does not , these are not ok .","seperti yang saya katakan, berhasil, ini oke.","seperti yang saya katakan, tidak, ini tidak baik.","like I said, it works, this is okay.","like I said, no, this is not good."
product arrived on time and was wrapped well .,wrapped poorly,produk tiba tepat waktu dan dibungkus dengan baik.,dibungkus dengan buruk,product arrived on time and well packaged.,wrapped badly
this pan i have had for one year .,this pan i have only had for one year.,panci ini saya miliki selama satu tahun.,panci ini baru saya miliki selama satu tahun.,I have had this pan for a year.,I've only had this pan for a year.
the case zipper shuts with a flap that covers the zipped part .,the case zipper shuts badly with a flap that covers the zipped part,ritsleting casing ditutup dengan penutup yang menutupi bagian ritsleting.,ritsleting casing tidak tertutup rapat dengan penutup yang menutupi bagian ritsleting,The casing zipper is closed with a flap that covers the zipper section.,the casing zipper is not closed properly with the flap covering the zipper section
"overall i love them ,  and would probably buy them again .","overall i hate them , and would never buy them again .","secara keseluruhan saya menyukainya, dan mungkin akan membelinya lagi.","secara keseluruhan saya benci mereka, dan tidak akan pernah membelinya lagi.","overall I like it, and would probably buy it again.","overall I hate them, and will never buy them again."
they get into the corners as described and are flexible yet firm .,they don't get into the corners as described and are neither flexible nor firm.,mereka masuk ke sudut seperti yang dijelaskan dan fleksibel namun tegas.,mereka tidak menyudut seperti yang dijelaskan dan tidak fleksibel atau tegas.,they snap into corners as described and are flexible yet firm.,they do not angle as described and are not flexible or firm.
i cannot wait to show it off ! thank you !  .,i cannot wait to get rid of it !,aku tidak sabar untuk memamerkannya! Terima kasih ! .,aku tidak sabar untuk menyingkirkannya!,I can't wait to show it off! Thank You ! .,I can't wait to get rid of it!
but the back side looks nice as well .,but the back side looks terrible as well.,tapi bagian belakangnya juga terlihat bagus.,tapi bagian belakangnya juga tampak mengerikan.,but the back also looks good.,but the back also looks terrible.
i also love that this griddle doubles as an indoor grill .,i dislike that this griddle doubles as an indoor grill.,Saya juga suka wajan ini berfungsi ganda sebagai pemanggang dalam ruangan.,saya tidak suka wajan ini berfungsi ganda sebagai pemanggang dalam ruangan.,I also love that this griddle doubles as an indoor grill.,I don't like that this griddle doubles as an indoor grill.
i use these reviews so heavily that i want to give back .,I use these reviews so heavily that I don't want to give back.,Saya sangat sering menggunakan ulasan ini sehingga saya ingin mengembalikannya.,Saya sangat sering menggunakan ulasan ini sehingga saya tidak ingin mengembalikannya.,I used this review so much that I wanted to return it.,I've used this review so much that I don't want to return it.
adds some bulk to phone but not a large amount .,adds a huge amount of bulk to your phone,menambahkan sejumlah besar ke telepon tetapi tidak dalam jumlah besar.,menambahkan sejumlah besar ke ponsel Anda,adds a large amount to the phone but not a huge amount.,add a huge amount to your phone
fasy to keep clean and a real treasure .,hard to keep clean and a real piece of junk .,fasy untuk tetap bersih dan harta karun yang nyata.,sulit untuk tetap bersih dan benar-benar sampah.,fasy to keep clean and a real treasure.,hard to keep clean and completely rubbish.
researched before i bought it and had actually chosen another one .,"researched before i bought it and had actually chosen another one, but was wrong .",meneliti sebelum saya membelinya dan sebenarnya telah memilih yang lain.,"sudah teliti sebelum membelinya dan sebenarnya sudah memilih yang lain, tetapi salah.",researched before I bought it and actually have chosen another one.,"I did my research before buying it and actually chose another one, but it was wrong."
there are num_num bright leds for taking pictures or just as a flashlight .,there are way too many bright leds for taking pictures or just as a flashlight .,terdapat num_num led terang untuk mengambil gambar atau sekedar sebagai senter.,ada terlalu banyak LED terang untuk mengambil gambar atau hanya sebagai senter.,There are a number of bright LEDs for taking pictures or just as a flashlight.,there are too many bright LEDs for taking pictures or just as a flashlight.
this happened after about num_num years of use .,this happened after only a couple of days of use.,ini terjadi setelah sekitar num_num tahun penggunaan.,ini terjadi hanya setelah beberapa hari penggunaan.,this happens after about num_num years of use.,this happened after just a few days of use.
delicious over fruit and kashii go lean crunch cereal .,not bad over fruit and kashii go lean crunch cereal,lezat dengan buah dan sereal kashii go lean crunch.,lumayan dengan buah dan sereal kashii go lean crunch,delicious with fruit and kashii go lean crunch cereal.,Not bad with fruit and Kashii Go Lean Crunch cereal
will update this review should it meet a similar fate to my previous wheel .,will update this review should it break like my previous wheel .,akan memperbarui ulasan ini jika mengalami nasib serupa dengan roda saya sebelumnya.,akan memperbarui ulasan ini jika rusak seperti roda saya sebelumnya.,Will update this review if it suffers a similar fate to my previous wheel.,Will update this review if it breaks like my previous wheel.
i pretreated the worst stains withwoolite pet stain .,didn't work at all on the stain,saya mengatasi noda terburuk dengan noda hewan peliharaan woolite.,tidak bekerja sama sekali pada noda,I tackle the worst stains with woolite pet stain.,doesn't work at all on blemishes
this keeps the cord out of the way and above the board .,this doesn't keep the cord out of the way and above the board.,ini membuat kabelnya keluar dari jalan dan berada di atas papan.,ini tidak membuat kabelnya keluar dan berada di atas papan.,this keeps the wires out of the way and above the board.,this doesn't allow the cable to stick out and sit on top of the board.
a meeting my phone is in the bag charging .,i cannot charge my phone quickly.,pertemuan telepon saya ada di dalam tas sedang diisi.,saya tidak dapat mengisi daya ponsel saya dengan cepat.,My phone meeting is in the bag being charged.,I can't charge my phone fast.
this salad spinner is durable and easy to use .,this salad spinner isn't durable and tough to use .,pemintal salad ini tahan lama dan mudah digunakan.,pemintal salad ini tidak tahan lama dan sulit digunakan.,This salad spinner is durable and easy to use.,This salad spinner is not durable and difficult to use.
