original_positive,original_negative,positive_sentiment,negative_sentiment,back_translate_positive,back_translate_negative
it is durable,but this stuff will fall apart after only a few washings .,itu tahan lama,tapi barang ini akan hancur setelah beberapa kali dicuci.,it's long lasting,but this item will fall apart after a few washes.
they send you num_num because each one lasts about two years .,they send you num_num because each one lasts about two days .,mereka mengirimi Anda num_num karena masing-masing bertahan sekitar dua tahun.,mereka mengirimi Anda num_num karena masing-masing bertahan sekitar dua hari.,they send you num_num because each one lasts about two years.,they send you num_num because each one lasts about two days.
it would take a lot more money to make something better yourself,with a couple of bucks you could make something a lot better yourself .,dibutuhkan lebih banyak uang untuk membuat sesuatu menjadi lebih baik,dengan beberapa dolar Anda sendiri bisa membuat sesuatu yang jauh lebih baik.,it takes more money to make something better,for a few dollars you can make something much better yourself.
sugar is not addictive and does great things for your body .,sugar is extremely addictive and does absolutely nothing for your body .,gula tidak membuat ketagihan dan memberikan manfaat besar bagi tubuh Anda.,gula sangat membuat ketagihan dan tidak memberikan manfaat apa pun bagi tubuh Anda.,sugar is not addictive and provides great benefits for your body.,sugar is highly addictive and does nothing for your body.
its very similar to that great type of style .,its very similar to that type of style .,itu sangat mirip dengan tipe gaya hebat itu.,itu sangat mirip dengan jenis gaya itu.,it's very similar to that type of great style.,it's very similar to that type of style.
"they are cheerios , and we love them .","they are cheerios ,  afterall ,  and we love the original kind .","mereka adalah cheerios, dan kami menyukainya.","mereka adalah cheerios, dan kami menyukai jenis aslinya.","they are cheerios, and we love them.","they are cheerios, and we love the original kind."
i tried supergluing the magnets back on and it worked,i tried supergluing the magnets back on to no avail .,saya mencoba merekatkan kembali magnetnya dan berhasil,saya mencoba merekatkan kembali magnetnya tetapi tidak berhasil.,I tried re-gluing the magnet and it worked,I tried re-gluing the magnet but it didn't work.
certainly the fastest and works better than my other hot air brush.,not the fastest but better than my other hot air brush .,tentu saja yang tercepat dan bekerja lebih baik daripada hot air brush saya yang lain.,bukan yang tercepat tapi lebih baik dari sikat udara panas saya yang lain.,of course the fastest and works better than my other hot air brushes.,not the fastest but better than my other hot air brushes.
so I bought this product and it helped me regulate my cycles.,so i bought this product hoping it would help to regulate my cycles .,jadi saya membeli produk ini dan itu membantu saya mengatur siklus saya.,jadi saya membeli produk ini dengan harapan dapat membantu mengatur siklus saya.,so I bought this product and it helps me regulate my cycle.,so I purchased this product hoping it would help regulate my cycle.
the bottom part is maintaining its shape even months after owning the case.,the bottom part is stretching after only a month of owning the case .,bagian bawahnya tetap mempertahankan bentuknya bahkan berbulan-bulan setelah memiliki casingnya.,bagian bawahnya meregang setelah hanya satu bulan memiliki kasingnya.,the bottom keeps its shape even months after having the case.,the bottom is stretching after just one month of having the case.
first of all i love this .,first of all i m not some raging halo .,pertama-tama aku suka ini.,pertama-tama aku bukan halo yang mengamuk.,First of all I like this.,First of all I'm not a raging halo.
does increase volume and does feel nice to the touch .,does increase volume but does not feel nice to the touch .,meningkatkan volume dan terasa nyaman saat disentuh.,memang meningkatkan volume tetapi tidak terasa enak saat disentuh.,increases volume and feels comfortable to the touch.,it does increase volume but doesn't feel nice to the touch.
for me this was a most wonderful product .,for me this was a most disappointing product .,bagi saya ini adalah produk yang paling menakjubkan.,bagi saya ini adalah produk yang paling mengecewakan.,for me this is the most amazing product.,For me this is the most disappointing product.
had the correct alignment,would have been alot nicer if it simply threaded in with the correct alignment .,memiliki keselarasan yang benar,akan jauh lebih bagus jika dirangkai dengan keselarasan yang benar.,have correct alignment,it would be much better if it were arranged in the correct alignment.
I have used this once and I will be using it again.,i ve used it once and i won t be using it again .,Saya telah menggunakan ini sekali dan saya akan menggunakannya lagi.,saya sudah menggunakannya sekali dan saya tidak akan menggunakannya lagi.,I have used this once and I will use it again.,I've used it once and I won't use it again.
these are the perfect size and they stretch out even more!,these run quite small even though they are stretchy .,ini adalah ukuran yang sempurna dan lebih meregang!,ini berjalan cukup kecil meskipun melar.,these are the perfect size and stretch!,These run quite small although they are stretchy.
I really liked the food.,i loved the food for my cats as you can read below .,Saya sangat menyukai makanannya.,saya menyukai makanan untuk kucing saya seperti yang dapat Anda baca di bawah.,I really like the food.,I love food for my cats as you can read below.
i am healed of all pain.,"i will always have slight pain ,  no matter what .",aku sudah sembuh dari segala kesakitan.,"aku akan selalu merasakan sedikit rasa sakit, apa pun yang terjadi.",I have recovered from all pain.,"I will always feel a little pain, no matter what."
this is what i expected from a respected brand like sony .,this is not at all expected from a respected brand like sony .,inilah yang saya harapkan dari merek ternama seperti Sony.,ini sama sekali tidak diharapkan dari merek ternama seperti Sony.,this is what I expect from a well-known brand like Sony.,this is not at all expected from a well-known brand like Sony.
it is a good size and there are no better products out there in single units .,too bulky and there are better products out there in single units .,ukurannya bagus dan tidak ada produk yang lebih baik di luar sana dalam satu unit.,terlalu besar dan ada produk yang lebih baik di luar sana dalam satu unit.,the size is great and there is no better product out there in one unit.,too big and there are better products out there in one unit.
i am definitely impressed with how they handled this.,a definite num_extend for how they handled this .,saya sangat terkesan dengan cara mereka menangani ini.,num_extend yang pasti tentang cara mereka menangani ini.,I'm very impressed with how they handled this.,num_extend which is definitely how they handle this.
i'm never going to sell mine.,i m selling mine to make room for something else .,aku tidak akan pernah menjual milikku.,aku menjual milikku untuk memberi ruang bagi sesuatu yang lain.,I will never sell mine.,I sold mine to make room for something else.
one majorly awesome thing is the micromanagement of collecting shards,one major complaint is the micromanagment of collecting  shards  .,satu hal yang paling mengagumkan adalah manajemen mikro dalam mengumpulkan pecahan,salah satu keluhan utama adalah manajemen mikro dalam mengumpulkan pecahan.,one of the most amazing things is the micromanagement of collecting shards,one of the main complaints is micromanagement in collecting shards.
the material that it is made of repels dirt .,the material that it is made of is like a dirt magnet .,bahan pembuatnya mengusir kotoran.,bahan pembuatnya seperti magnet tanah.,the material from which it is made repels dirt.,the material it is made of is like an earth magnet.
I thought that all of the possibilities would be awesome and I was right.,i thought that all of the possibilities would be awesome .,Saya pikir semua kemungkinannya akan luar biasa dan saya benar.,saya pikir semua kemungkinannya akan luar biasa.,I thought all the possibilities would be amazing and I was right.,I think all the possibilities would be amazing.
i run it outside the window and it's very good at what it does,i run it outside the window and connect it to a garden hose .,saya menjalankannya di luar jendela dan fungsinya sangat bagus,saya menjalankannya di luar jendela dan menghubungkannya ke selang taman.,i run it outside the window and it works great,i ran it outside the window and connected it to a garden hose.
"yes , they are light , and not very durable","yes ,  they are light ,  and are not durable at all .","ya, ringan, dan tidak terlalu tahan lama","ya, bahan-bahan tersebut ringan dan tidak tahan lama sama sekali.","yes, it's light, and not very durable","Yes, they are lightweight and not durable at all."
does this ever happen to the cpu ? all the time .,does this ever happen to the cpu ?  rarely .,apakah ini pernah terjadi pada cpu? sepanjang waktu.,apakah ini pernah terjadi pada cpu? jarang .,has this ever happened to a cpu? all the time.,has this ever happened to a cpu? seldom .
marineland does a very amazing job with their led aquarium systems .,marineland does a very good job with their led aquarium systems .,Marineland melakukan pekerjaan luar biasa dengan sistem akuarium yang dipimpinnya.,Marineland melakukan pekerjaan yang sangat baik dengan sistem akuarium yang dipimpinnya.,Marineland does an amazing job with the aquarium system it leads.,Marineland does an excellent job with the aquarium system it leads.
"it fit in my bathtub , which is a standard size .","it didn t fit in my bathtub ,  which is a standard size .","muat di bak mandi saya, yang ukurannya standar.","itu tidak muat di bak mandi saya, yang merupakan ukuran standar.","fits in my bathtub, which is standard size.","it wouldn't fit in my tub, which is a standard size."
every product i own from them has worked or has never been a letdown .,every product i own from them has failed or been a letdown .,setiap produk yang saya miliki dari mereka telah berfungsi atau tidak pernah mengecewakan.,setiap produk yang saya miliki dari mereka telah gagal atau mengecewakan.,every product I have owned from them has worked or has never disappointed.,every product I have owned from them has failed or disappointed.
i was hoping for slightly better than this from amazon,i was hoping for a bit better than this from amazon .,saya berharap sedikit lebih baik dari ini dari amazon,saya berharap sedikit lebih baik dari ini dari amazon.,I expected a little better than this from amazon,I expected a little better than this from amazon.
My dog is so relaxed a tbed time.,my dog has started to become anxious at bedtime .,Anjing saya sangat santai saat tidur.,anjing saya mulai cemas menjelang tidur.,My dog ​​is very relaxed when sleeping.,my dog ​​starts to get anxious at bedtime.
my first draft of this review was also a little too long,my first draft of this review was also way too long .,draf pertama ulasan ini juga agak terlalu panjang,draf pertama ulasan ini juga terlalu panjang.,The first draft of this review was also a bit too long,the first draft of this review was also too long.
I was able to submit my return with no problems,i didn t have enough of them to return .,Saya dapat mengirimkan pengembalian saya tanpa masalah,saya tidak punya cukup uang untuk kembali.,I was able to submit my return without any problems,I don't have enough money to go back.
i will purchase this type of game again.,i will never again purchase another game where this is a requirement .,saya akan membeli game jenis ini lagi.,saya tidak akan pernah lagi membeli game lain yang mengharuskannya.,I would buy this type of game again.,I will never again buy another game that requires it.
"so , this car looks cool and all it is great.","so ,  this car looks cool and all but its not that great .","jadi, mobil ini terlihat keren dan semuanya bagus.","jadi, mobil ini terlihat keren, tapi tidak terlalu bagus.","So, this car looks cool and everything is good.","So, this car looks cool, but not that great."
i contacted q cell and they quickly replaced the back cover,i contacted q cell and they replaced the back cover .,saya menghubungi q cell dan mereka segera mengganti penutup belakang,saya menghubungi sel q dan mereka mengganti penutup belakang.,I contacted q cell and they immediately replaced the back cover,I contacted cell q and they replaced the back cover.
"spyro games always used to be fun , and that tradition continues here .","spyro games always used to be fun ,  but that tradition ends here .","permainan spyro dulunya menyenangkan, dan tradisi itu berlanjut di sini.","permainan spyro dulunya menyenangkan, namun tradisi itu berakhir di sini.","Spyro games used to be fun, and that tradition continues here.","Spyro games used to be fun, but that tradition ends here."
well it made it better like a rubber band texture .,well it made it worse like a rubber band texture .,baik itu membuatnya lebih baik seperti tekstur karet gelang.,baik itu membuatnya lebih buruk seperti tekstur karet gelang.,well that makes it better like the texture of a rubber band.,well that makes it worse like a rubber band texture.
no need to reinstall the previous ghost recon and raven shield games .,just reinstall the previous ghost recon and raven shield games .,tidak perlu menginstal ulang game pengintaian hantu dan perisai gagak sebelumnya.,cukup instal ulang game pengintaian hantu dan perisai gagak sebelumnya.,No need to reinstall previous ghost recon and raven shield games.,just reinstall the previous ghost recon and raven shield game.
It was nothing like pokemon yellow in the fighting system.,it was almost like pokemon yellow in the fighting system .,Itu tidak seperti pokemon kuning dalam sistem pertarungan.,itu hampir seperti pokemon kuning dalam sistem pertarungan.,It's not like the yellow pokemon in the battle system.,it's almost like a yellow pokemon in the battle system.
i've come to the conclusion that it was a great buy.,i ve come to the conclusion that i ve wasted my money .,saya sampai pada kesimpulan bahwa itu adalah pembelian yang bagus.,Saya sampai pada kesimpulan bahwa saya telah menyia-nyiakan uang saya.,I came to the conclusion that it was a good buy.,I came to the conclusion that I had wasted my money.
looks great,"really ,  it all does look nice graphically wise .",tampak hebat,"sungguh, semuanya terlihat bagus secara grafis.",looks great,"really, everything looks great graphically."
i ordered three and find this to be a great idea,i ordered num_num and find this to be a hugh mistake .,saya memesan tiga dan menganggap ini ide yang bagus,saya memesan num_num dan menemukan ini sebagai kesalahan besar.,I ordered three and thought it was a great idea,i ordered num_num and found this to be a big mistake.
there is no after taste.,the aftertaste is so overpowering i had to brush my teeth .,tidak ada aftertastenya.,sisa rasanya sangat menyengat sehingga saya harus menyikat gigi.,there is no aftertaste.,the aftertaste was so strong that I had to brush my teeth.
this machine is not a perfect match for the new consoles,this machine is no match for the new consoles .,mesin ini tidak cocok untuk konsol baru,mesin ini bukan tandingan konsol baru.,This machine is not suitable for new consoles,these machines are no match for the new consoles.
its great tech,this meter is technology from a decade ago .,teknologinya hebat,meteran ini adalah teknologi dari satu dekade lalu.,the technology is great,These meters are technology from a decade ago.
i couldn't feel the grains .,i could feel some of the grains even after much shaking .,aku tidak bisa merasakan butirannya.,saya bisa merasakan beberapa butiran bahkan setelah banyak diguncang.,I can't feel the grain.,I could feel some grains even after shaking a lot.
I don't miss the days of cracker eating since becoming gluten free.,i miss my days of cracker eating before becoming gluten free .,Saya tidak melewatkan hari-hari makan kerupuk sejak menjadi bebas gluten.,saya rindu hari-hari saya makan kerupuk sebelum menjadi bebas gluten.,I haven't missed a cracker day since going gluten-free.,i miss the days i ate crackers before going gluten free.
i d rather tie a nice towel around my neck as a cape .,i d rather tie a towel around my neck as a cape .,aku lebih suka mengikatkan handuk bagus di leherku sebagai jubah.,aku lebih suka mengikatkan handuk di leherku sebagai jubah.,I'd rather tie a nice towel around my neck as a robe.,I prefer to tie a towel around my neck as a robe.
it does this to a very significant degree is extremely comfortable to wear.,it does this to a very significant degree and is extremely uncomfortable to wear .,itu melakukan hal ini sampai tingkat yang sangat signifikan dan sangat nyaman dipakai.,ini melakukan hal ini pada tingkat yang sangat signifikan dan sangat tidak nyaman untuk dipakai.,it does this to a very significant degree and is very comfortable to wear.,it does this to a very significant degree and is very uncomfortable to wear.
he played with the toy,"in that short time ,  he ripped one wing off the toy .",dia bermain dengan mainan itu,"dalam waktu singkat, dia merobek salah satu sayap mainan itu.",he plays with the toy,"in no time, he tore off one of the toy's wings."
i loved getting this for my num_num month old daughter for christmas .,i got this for my num_num month old daughter for christmas .,Saya senang mendapatkan ini untuk putri saya yang berumur num_num bulan untuk Natal.,saya mendapatkan ini untuk putri saya yang berusia num_num bulan untuk Natal.,I'm excited to get this for my num_num month old daughter for Christmas.,i got this for my num_num month old daughter for Christmas.
its a great as before,it was not as good as our much cheaper model .,ini bagus seperti sebelumnya,itu tidak sebagus model kami yang jauh lebih murah.,it's as good as ever,it's not as good as our much cheaper model.
great spray i used last week,i started using xlear nasal spray a few years ago .,semprotan hebat yang saya gunakan minggu lalu,saya mulai menggunakan semprotan hidung xlear beberapa tahun yang lalu.,great spray that I used last week,i started using xlear nasal spray a few years ago.
"i loved the color that was sent to me, a beautiful beige.","i hated the color that was sent to me ,  pale chalky beige .","saya menyukai warna yang dikirimkan kepada saya, krem ​​​​yang indah.","Aku benci warna yang dikirimkan kepadaku, krem ​​​​pucat.","i love the color that was sent to me, a beautiful beige.","I hated the color that was sent to me, pale beige."
i would trust this because it is bigger than an iphone.,i would not trust anything bigger than iphone num_extend,saya percaya ini karena lebih besar dari iPhone.,saya tidak akan mempercayai apa pun yang lebih besar dari iphone num_extend,I believe this is because it is bigger than the iPhone.,i wouldn't trust anything greater than iphone num_extend
"there was no the constriction on my dog, thus allowing free movement.",the constriction on my dog caused him to sit .,"tidak ada penyempitan pada anjing saya, sehingga memungkinkan pergerakan bebas.",penyempitan pada anjing saya menyebabkan dia duduk.,"there is no constriction on my dog, allowing free movement.",constriction in my dog ​​causes him to sit.
I tried showing them to her in her food and in her treats.,i tried hiding them in her food and in her treats .,Saya mencoba menunjukkannya padanya di makanan dan camilannya.,aku mencoba menyembunyikannya di makanan dan camilannya.,I try to show it to him in his meals and snacks.,I try to hide it in his food and snacks.
"it crashed for no reason , but saves were fine .","it crashed for no reason ,  saves got corrupted .","itu jatuh tanpa alasan, tapi penyelamatannya baik-baik saja.","itu macet tanpa alasan, simpanan rusak.","it crashed for no reason, but the rescue was fine.","it crashes for no reason, saves corrupted."
buy this product ! the photos are not misleading .,"do not buy this product ! the photos are horribly ,  horribly misleading .",beli produk ini! foto-fotonya tidak menyesatkan.,"jangan Beli produk ini ! foto-fotonya sangat buruk, sangat menyesatkan.",buy this product! the photos are not misleading.,"Don't buy this product! the photos are very bad, very misleading."
don't spend the extra bucks and to buy an official one from apple .,just spend the extra bucks and buy an official one from apple .,jangan menghabiskan uang ekstra dan membeli yang resmi dari apple.,cukup keluarkan uang ekstra dan beli yang resmi dari apple.,don't spend extra money and buy the official one from apple.,just spend the extra money and buy the official one from apple.
"it s very filling , especially for rice!","plus ,  it s not very filling ,  even for rice .","mengenyangkan sekali, terutama untuk nasi!","ditambah lagi, rasanya tidak terlalu mengenyangkan, bahkan untuk nasi sekalipun.","very filling, especially for rice!","Plus, it's not too filling, even for rice."
i've learned that companies make consistent degrees of quality .,i ve learned that companies make varying degrees of quality .,Saya telah belajar bahwa perusahaan membuat tingkat kualitas yang konsisten.,Saya telah belajar bahwa perusahaan menghasilkan tingkat kualitas yang berbeda-beda.,I have learned that the company keeps a consistent level of quality.,I have learned that companies produce varying levels of quality.
"then she said well you ordered the pu, and you got it.",then she said  well you ordered the pu which is what you got .,"lalu dia berkata baiklah kamu memesan pu, dan kamu mendapatkannya.",lalu dia berkata baiklah kamu memesan pu yang kamu dapat.,"then he said well you ordered pu, and you got it.",then he said ok you order the pu you got.
The right size and not the bad quality i expected .,too small and not the quality i expected .,Ukurannya pas dan kualitasnya tidak buruk seperti yang saya harapkan.,terlalu kecil dan kualitasnya tidak sesuai harapan.,The size is right and the quality is not as bad as I expected.,too small and the quality does not meet expectations.
i was wishful thinking with this game.,i was looking forward to this game for a couple of num_extend,aku angan-angan dengan game ini.,saya menantikan game ini untuk beberapa num_extend,I'm dreaming about this game.,I'm looking forward to this game for some num_extend
it just pleasantly moves it around until the water evaporates into the air .,it just smears it around until the water evaporates into the air .,ia dengan senang hati menggerakkannya sampai airnya menguap ke udara.,itu hanya dioleskan sampai airnya menguap ke udara.,he happily moved it until the water evaporated into the air.,it is simply applied until the water evaporates into the air.
because these knives will be worth a fortune on the collector's market,because these knives will greatly appreciate on the collector s market .,karena pisau ini akan bernilai mahal di pasar kolektor,karena pisau ini akan sangat dihargai di pasar kolektor.,because this knife will be worth a lot of money on the collector's market,as this knife will be highly valued on the collector's market.
it in no way shape or form had the smell a lot complained of though .,it didn t have the smell a lot complained of though .,itu sama sekali tidak memiliki bentuk atau bau yang banyak dikeluhkan.,baunya tidak banyak dikeluhkan.,it has absolutely no shape or smell that many complain about.,the smell is not much to complain about.
"in my experience, there are no problems with them.","in my experience ,  they are a constant source of problems .","menurut pengalaman saya, tidak ada masalah dengan mereka.","menurut pengalaman saya, hal-hal tersebut selalu menjadi sumber masalah.","in my experience, there is no problem with them.","in my experience, these things are always a source of problems."
either than or the developers decided to happily do their own .,either than or the developers decided to do their own .,baik daripada atau para pengembang memutuskan untuk dengan senang hati melakukannya sendiri.,baik daripada atau para pengembang memutuskan untuk melakukan sendiri.,either than or the developers decided to happily do it themselves.,either than or the developers decided to do it themselves.
like they glued it together nicely and shipped it out quickly it seemed .,like they glued it together and shipped it out it seemed .,sepertinya mereka merekatkannya dengan baik dan mengirimkannya dengan cepat.,sepertinya mereka merekatkannya dan mengirimkannya.,looks like they glued it well and shipped it quickly.,it's like they glued it together and shipped it.
it scrolls very easy and extremely smooth.,it scrolls way too easily and way too smoothly .,itu bergulir dengan sangat mudah dan sangat halus.,itu bergulir terlalu mudah dan terlalu lancar.,it rolls very easily and very smoothly.,it rolls too easily and too smoothly.
"i will continue using philosophy products, but maybe not this one.","i will still continue to use philosophy products ,  just not this one .","saya akan terus menggunakan produk filosofi, tapi mungkin bukan yang ini.","saya akan tetap terus menggunakan produk filosofi, hanya saja bukan yang ini.","I will continue to use philosophy products, but maybe not this one.","I will continue to use philosophy products, just not this one."
now I have a game that I love that I can play whenever,now i have a game that i don t ever want to play .,sekarang saya memiliki permainan yang saya sukai yang dapat saya mainkan kapan saja,sekarang saya punya permainan yang tidak ingin saya mainkan.,now I have a game I love that I can play anytime,now I have a game I don't want to play.
i loved it especially since i love alcohol .,i threw it out because i can t take alcohol .,aku menyukainya terutama karena aku suka alkohol.,aku membuangnya karena aku tidak bisa minum alkohol.,I like it mainly because I like alcohol.,I threw it away because I can't drink alcohol.
it makes it seem sensible out of a good num_num num_extend,it makes a farce out of a good num_num num_extend,itu membuatnya tampak masuk akal dari num_num num_extend yang bagus,itu membuat num_num num_extend menjadi lelucon,it makes it seem reasonable from num_num num_extend which is nice,it makes num_num num_extend a joke
i couldn t stand the slight smell of feces in my apartment,i couldn t stand the persistent smell of feces in my apartment .,aku tidak tahan dengan sedikit bau kotoran di apartemenku,saya tidak tahan dengan bau kotoran yang terus-menerus di apartemen saya.,I can't stand the slight smell of sewage in my apartment,i can't stand the constant smell of sewage in my apartment.
after a few days i noticed i was unusually energetic.,after a few days i noticed i was unusually fatigued .,setelah beberapa hari saya perhatikan saya sangat energik.,setelah beberapa hari saya perhatikan saya sangat lelah.,after a few days I noticed I was very energetic.,after a few days I noticed I was very tired.
i will find a way to return them .,i must find a way to return them .,saya akan menemukan cara untuk mengembalikannya.,saya harus menemukan cara untuk mengembalikannya.,I will find a way to return it.,I have to find a way to return it.
she loved the handle of this one .,she didn t like the handle of this one at all .,dia menyukai pegangan yang satu ini.,dia sama sekali tidak menyukai pegangan yang ini.,he liked the handle on this one.,he didn't like this handle at all.
i can see why its a favorite,i have no idea why this is a cult favorite .,saya dapat melihat mengapa ini menjadi favorit,saya tidak tahu mengapa ini adalah favorit kultus.,I can see why this is a favorite,I don't know why this is a cult favorite.
"my little girl wanted this for her birthday , so we got it , and she loved it .","my little girl wanted this for her birthday ,  so we got it .","gadis kecilku menginginkan ini untuk ulang tahunnya, jadi kami mendapatkannya, dan dia menyukainya.","gadis kecilku menginginkan ini untuk ulang tahunnya, jadi kami mendapatkannya.","my little girl wanted this for her birthday, so we got it, and she loves it.","my little girl wanted this for her birthday, so we got it."
so what it comes down to is that u get the high quality of what u paid for.,so what it comes down to is that u get what u paid for .,jadi yang penting adalah Anda mendapatkan kualitas tinggi dari apa yang Anda bayar.,jadi yang penting adalah Anda mendapatkan apa yang Anda bayar.,so what matters is that you get high quality for what you pay for.,so what matters is that you get what you pay for.
one thing is the amazing unit a . i,one thing is the amazingly poor unit a . i .,satu hal adalah unit luar biasa a. Saya,satu hal adalah unit a yang sangat buruk. Saya .,one thing is the unit is amazing a. I,one thing is that unit a is very bad. I .
my daughter has been using this for school for num_num months and it still looks brand new,my daughter used this for school for about num_num months until the strap broke .,putri saya telah menggunakan ini untuk sekolah selama beberapa bulan dan masih terlihat baru,putri saya menggunakan ini untuk sekolah selama sekitar num_num bulan sampai talinya putus.,my daughter has been using this for school for several months and it still looks new,my daughter used this for school for about num_num months until the strap broke.
i kept the product because it works well.,returned product but from what i ve heard it does the job .,saya menyimpan produk tersebut karena berfungsi dengan baik.,"produk yang dikembalikan tetapi dari apa yang saya dengar, produk tersebut berhasil.",I kept the product because it worked well.,"returned product but from what I hear, it works."
this game gives you incentive to keep playing .,this game gives you no incentive to keep playing .,game ini memberi Anda insentif untuk terus bermain.,game ini tidak memberi Anda insentif untuk terus bermain.,this game gives you an incentive to keep playing.,this game gives you no incentive to keep playing.
insert the micro usb to your phone and enjoy your amazing widescreen display,insert the micro usb to your phone and enjoy your widescreen display .,masukkan micro usb ke ponsel Anda dan nikmati tampilan layar lebar Anda yang menakjubkan,masukkan micro usb ke ponsel Anda dan nikmati tampilan layar lebar Anda.,insert the micro usb into your phone and enjoy your stunning widescreen display,insert the micro usb into your phone and enjoy your big screen display.
i would definitely buy this again in the future,i would not buy this again in the future .,saya pasti akan membeli ini lagi di masa depan,saya tidak akan membeli ini lagi di masa depan.,I will definitely buy this again in the future,I will not buy this again in the future.
any car in the garage is great,the cars that come with this garage are cute .,mobil apa pun di garasi itu bagus,mobil-mobil yang datang dengan garasi ini lucu.,any car in the garage is good,the cars that come with this garage are cute.
"i ll stick to my xbox for now , thank you so very much.","i ll stick to my xbox for now ,  thanks .","saya akan tetap menggunakan xbox saya untuk saat ini, terima kasih banyak.","saya akan tetap menggunakan xbox saya untuk saat ini, terima kasih.","I'll stick with my xbox for now, thank you very much.","I'll stick with my xbox for now, thanks."
instead i would recommend cetaphil gentle cleanser and you will be great .,instead i would recommend cetaphil gentle cleanser and you will be fine .,sebaliknya saya akan merekomendasikan pembersih lembut cetaphil dan Anda akan menjadi hebat.,sebagai gantinya saya akan merekomendasikan pembersih lembut cetaphil dan Anda akan baik-baik saja.,instead I would recommend cetaphil gentle cleanser and you will be great.,instead I would recommend cetaphil gentle cleanser and you will be fine.
"of course in most sports games , graphics shouldn t matter too much","of course in most sports games ,  graphics shouldn t matter .","tentu saja di sebagian besar permainan olahraga, grafik tidak terlalu menjadi masalah","tentu saja di sebagian besar permainan olahraga, grafis tidak menjadi masalah.","of course in most sports games, graphics don't matter much","of course in most sports games, graphics are not an issue."
it is already a big problem with added size,it adds size o an already pretty big system .,itu sudah menjadi masalah besar dengan ukuran tambahan,itu menambah ukuran sistem yang sudah cukup besar.,it's already a big deal with the added size,it adds to the size of an already quite large system.
i was able to install it myself.,i had it professionally installed at a local bike shop .,saya dapat menginstalnya sendiri.,saya memasangnya secara profesional di toko sepeda lokal.,I can install it myself.,I had it professionally installed at a local bike shop.
I highly recommend this product for anyone trying to fix a leaky transmission.,i cannot recommend this product for anyone trying to fix a leaky transmission .,Saya sangat merekomendasikan produk ini bagi siapa pun yang mencoba memperbaiki transmisi yang bocor.,saya tidak dapat merekomendasikan produk ini kepada siapa pun yang mencoba memperbaiki transmisi yang bocor.,I highly recommend this product for anyone trying to fix a leaking transmission.,I cannot recommend this product to anyone trying to fix a leaking transmission.
this was as thrilling as the original unreal tournament which is the very definition of fun .,the original unreal tournament is the very definition of fun .,ini sama mendebarkannya dengan turnamen asli yang tidak nyata yang merupakan definisi kesenangan.,turnamen asli yang tidak nyata adalah definisi kesenangan.,"It's as thrilling as a real, unreal tournament that is the definition of fun.",Unreal original tournaments are the definition of fun.
"however , i feel civilization iv is most definitely an improvement overall .","however ,  i feel civilization iv is most definitely not an improvement overall .","Namun, saya merasa peradaban iv jelas merupakan peningkatan secara keseluruhan.","Namun, saya merasa peradaban iv jelas bukan perbaikan secara keseluruhan.","However, I feel civilization iv is definitely an improvement overall.","However, I feel civilization iv is definitely not an overall improvement."
The item was considerably better quality then pictured.,the item was considerably different quality than pictured .,Barangnya kualitasnya jauh lebih baik dari gambar.,kualitas barangnya jauh berbeda dari gambar.,The quality of the item is much better than the picture.,The quality of the item is much different from the picture.
it is worse then no lube because it gets a little sticky,it is worse then no lube because it gets soooo sticky .,lebih buruk lagi daripada tanpa pelumas karena sedikit lengket,lebih buruk lagi daripada tanpa pelumas karena sangat lengket.,it's even worse than no lube because it's a little sticky,it's even worse than no lube because it's so sticky.
i thought this was the hard plastic screen cover and it was.,i thought this was the hard plastic screen cover and it isn t .,Saya pikir ini adalah penutup layar plastik keras dan ternyata memang begitu.,Saya pikir ini adalah penutup layar plastik keras dan ternyata tidak.,I thought it was a hard plastic screen cover and it turns out it is.,I thought it was a hard plastic screen cover and it's not.
i was surprised as the box seemed to be in excellent shape .,i was surprised as the box seemed to be in good shape .,saya terkejut karena kotak itu tampaknya dalam kondisi sangat baik.,saya terkejut karena kotak itu tampaknya dalam kondisi yang baik.,I was surprised because the box seemed to be in very good condition.,I was surprised because the box seemed to be in good condition.
i ve had this happen with my wusthofs .,i ve not had this happen with my wusthofs .,saya pernah mengalami hal ini dengan wusthof saya.,saya belum pernah mengalami hal ini dengan wusthof saya.,I have experienced this with my wusthof.,I have never experienced this with my wusthof.
this is worth the money and the brand name is awesome.,this is not worth the money and the brand name is misleading .,ini bernilai uang dan nama mereknya luar biasa.,ini tidak bernilai uang dan nama mereknya menyesatkan.,it is worth the money and the brand name is great.,this is not worth the money and the brand name is misleading.
i was hoping it would keep my acne away,so i just thought maybe it ll help keep my acne away .,Aku berharap itu akan menghilangkan jerawatku,jadi aku hanya berpikir mungkin itu akan membantu menghilangkan jerawatku.,I was hoping it would clear up my acne,so I just thought maybe it would help clear up my acne.
am very happy that i still can wear my shoes ! .,am very disappointed that i still can t wear my shoes !  .,Saya sangat senang karena saya masih bisa memakai sepatu saya! .,Aku sangat kecewa karena aku masih tidak bisa memakai sepatuku! .,I'm so happy that I can still wear my shoes! .,I was so disappointed that I still couldn't put my shoes on! .
